流水號,課號
54666,BSE4002
32893,AC4013
21049,AC4013
24767,AC4013
15154,AC4013
27071,AC4013
15279,AC4013
56865,AC4013
33087,LS1018
33136,Forest3039
18569,AniSci3006
26526,AniSci4018
50936,AniSci4018
35746,AniSci4018
46261,AniSci4018
38407,AniSci4018
43522,AniSci4018
30310,AniSci4018
30848,AniSci4018
11808,AniSci4018
24288,AniSci4018
38031,AniSci4018
25883,AniSci4020
26282,AniSci4020
16600,AniSci4020
36183,AniSci4020
58765,AniSci4020
53036,AniSci4020
20590,AniSci4020
15981,AniSci4020
19793,AniSci4020
50197,AniSci4020
48187,AniSci4020
39438,AniSci5036
18219,AGEC5035
17201,AGEC5035
53798,HORT3032
40093,HORT3032
25992,HORT3032
23131,HORT3032
22330,HORT3032
16294,HORT3032
21556,HORT3032
31112,HORT3034
57560,HORT3034
16726,HORT3034
52858,HORT3034
40111,HORT3034
59554,HORT3034
32482,HORT3034
37448,HORT3034
49863,HORT3034
43753,HORT3034
21752,HORT3034
15598,HORT3032
53348,HORT3034
55941,HORT3034
40946,HORT3034
31382,HORT4014
13367,HORT4014
33999,HORT4014
42693,HORT4014
58059,HORT4014
42824,HORT4014
26803,HORT4014
30324,HORT4014
59428,HORT4014
18299,HORT4014
12026,HORT4014
26872,HORT4014
22420,HORT4014
16270,HORT4014
51003,HORT4014
12434,HORT4014
57283,HORT5070
54329,VM4018
17700,VM4018
53201,VM4018
19971,VM4018
28300,VM4018
30010,VM4018
13413,VM4018
18879,VM4018
11423,VM4018
11831,VM4018
45765,VM4018
33093,VM4018
33876,VM4018
26388,VM4018
26489,VM5111
14382,VM5035
51881,VM5100
29733,MCP5009
51118,BICD4017
27917,BICD4017
30259,BICD4017
40088,BICD4017
37024,BICD8011
43212,BICD4017
21127,BICD4017
17657,BICD4017
34591,BICD4017
15134,BICD4017
15412,BICD6001
44560,BME4201
36267,BME4201
58216,BME4201
36015,BME4201
28888,ENT3011
49636,ENT3007
37549,ENT4010
56513,ENT4010
41761,ENT4010
27661,ENT4010
26390,ENT5067
50164,PPM5010
32241,PPM5010
53398,PPM5010
11007,PPM5010
54178,PPM5010
55744,PPM5076
59859,Agron8001
22696,Agron8001
26490,Agron8001
48790,Agron8001
56585,Agron8001
35712,Agron8001
38903,Agron8001
17318,Agron8001
52523,Agron8001
21309,Agron8001
54961,Agron8001
20159,Agron8001
25282,Agron8001
26336,Agron8001
21272,BSE7003
28958,BSE7003
47599,BSE7003
43436,AC8005
38720,AC8005
40980,AC8005
57914,AC8005
44326,AC8005
14802,AC8005
14303,AC8005
56997,Forest8000
26496,Forest7001
52369,Forest7001
22312,Forest7001
56406,Forest7001
48902,Forest7076
45761,Forest7077
30894,Forest7079
10979,AniSci8002
41859,AniSci7001
19656,AniSci7001
43305,AniSci7001
46133,AniSci8002
31060,AniSci7001
10884,AniSci7001
27296,AniSci8002
22738,AniSci7001
49905,AniSci7001
43597,AniSci7001
37912,AniSci7024
54831,ATGS7210
54202,AniSci7008
55901,AniSci8019
10814,AGEC7070
13617,AGEC7070
24885,AGEC7070
42899,AGEC7070
10329,AGEC7070
10137,HORT7014
17115,HORT8022
54537,HORT8022
56701,HORT8022
44262,HORT8022
58370,HORT8022
40045,HORT8022
22551,HORT8022
29350,HORT8022
20803,HORT8022
38468,HORT8022
54752,HORT8022
18170,HORT8022
58900,HORT8022
10392,HORT8022
15424,HORT7016
50183,HORT8024
19474,HORT8024
21844,HORT8024
26397,HORT8024
27797,HORT8024
21677,HORT8024
19902,HORT8024
52033,HORT8024
15408,HORT8024
34016,HORT8024
18413,HORT8024
21551,HORT8024
19273,HORT8024
38289,HORT8001
25818,HORT8002
28237,HORT7005
55748,VM8006
43616,VM8006
14271,VM8006
56788,VM8006
37208,VM8006
45133,VM8006
14702,VM8006
27554,VM8006
27735,VM8006
17570,VM8006
36768,VM8006
26514,VM8006
29330,VM8006
30059,VM8008
25688,VM8008
20274,VM8008
13113,VM8008
19482,VM7008
41643,VM8008
17699,VM8008
11272,VM8008
38753,VM8008
10349,VM7008
23107,VM8008
22548,VM8008
37800,VM7093
32313,VM8006
54339,VM8006
12898,VM8006
53920,VM8006
43930,VM8006
30491,VM8006
15388,VM8006
41051,VM8006
15344,VM8006
55566,VM8006
21344,VM8006
58167,VM8008
38566,BICD8011
30080,BICD7150
47545,BICD5083
54478,BME4201
32736,BME4201
43166,BME4201
39937,BME4201
29934,BME8403
54826,PPM7014
52196,PPM7014
11001,FOOD8003
32510,FOOD8003
11998,FOOD8003
10560,FOOD8003
51522,FOOD8003
19389,FOOD8003
12517,FOOD5310
51560,FOOD5311
49404,FOOD8005
53094,FOOD8005
16682,FOOD8005
21180,FOOD8005
33027,FOOD8502
48097,FOOD8502
19640,FOOD8502
18311,FOOD8502
49043,FOOD8502
47449,FOOD8502
44353,BST5022
13243,Biot8024
25878,VM8006
10142,VM8006
52397,VM8008
10536,VCS7004
34077,MCP7009
52198,VM8008
36447,VM8008
30373,MGT5001
48379,MBA5082
30020,IM5047
36816,MBA5075
42827,Fin5070
16451,IB2013
15445,IM3009
41611,IM3009
39738,IM3009
10343,IM3009
39698,IM3009
10787,IM3009
20949,IM3009
24050,IM3009
55970,IM3006
15680,IM5027
13482,IM5028
35360,Acc7015
15087,IB8025
57645,IM7009
49262,IM5060
31917,PH3045
30506,HPM5030
50300,HBCS5006
38383,PH4008
56723,MGH7023
40888,HPM7087
18750,HPM7084
24006,HPM7086
17239,HPM7101
10657,HPM7104
22082,HPM8006
35655,HPM8006
38691,HPM8006
59707,HPM8006
45995,HPM8006
40090,HPM8006
10665,HPM8006
46122,HPM8006
50240,HPM8006
56230,HPM8006
33784,EPM7168
41981,EPM7169
14484,EPM7162
56364,EOHS7043
47120,EOHS7061
34068,EOHS7062
43122,EOHS5004
35690,MGH7005
14771,EE2004
58016,EE2023
24066,EE2023
56694,EE2025
40936,EE3004
40718,EE3004
13116,EE3004
37645,EE3004
16765,EE3002
39079,EE3006
11525,EE2027
20933,EE3007
24585,EE3009
43042,EE4041
49220,EE4043
29785,EE4049
33725,EE4049
56473,EE4049
17314,EE4049
18204,EE4049
29227,EE4049
53383,EE4049
41606,EE4049
37346,EE4049
44304,EE4049
27991,EE4049
27672,EE4049
41390,EE4049
23208,EE4049
48233,EE4049
45840,EE4049
46893,EE4049
40240,EE4049
29691,EE4049
12814,EE4049
54751,EE4049
16382,EE4049
34308,EE4049
17618,EE4049
18899,EE4049
46568,EE4049
57942,EE4049
47940,EE4049
18668,EE4049
11489,EE4049
38442,EE4049
13821,EE4049
28720,EE4049
29153,EE4049
56176,EE4049
36246,EE4049
14149,EE4049
58632,EE4049
49574,EE4049
52835,EE4049
52257,EE4049
52935,EE4049
50143,EE4049
39440,EE4049
47817,EE4049
33461,EEE7002
25262,CSIE3512
13765,CSIE3512
27690,CSIE3512
23732,CSIE3512
40329,CSIE3512
44630,CSIE3512
45267,CSIE1923
31229,EE8001
17900,EE8001
14644,EE5094
22572,OE5025
31332,OE5034
16261,EEE5055
41481,EEE5056
37392,CSIE3512
21716,CSIE3512
55440,CSIE8990
14601,CSIE3512
37150,CSIE7008
36426,CSIE7190
13444,CSIE7645
10958,OE8002
55851,OE8002
10420,OE8002
56634,EEE8002
37660,EEE8002
21857,EE3040
33283,Data8002
13623,Data8002
54031,Data8002
29099,Data8002
32885,CSIE7010
24647,LAW4011
26791,LAW4012
53252,LAW3186
50542,LAW4282
19661,LAW3402
40947,LAW4116
13646,LAW5393
33582,LAW5325
11462,LAW7037
36859,LAW7349
18294,LAW7350
44542,LAW7193
23272,LAW7194
26029,LAW5242
51930,LAW7327
32070,LAW7328
17770,LAW7024
58613,LAW7468
45388,LawILS7008
19347,LAW7422
1027,CHIN8013
1026,CHIN8013
3008,FL1008
3018,FL1008
16110,PS4644
27618,Soc1027
34380,MD&PH5007
44050,MD&PH5007
32910,MD&PH5078
36124,CSIE1928
34693,FL2014
24127,FL2014
52906,FL2016
17821,JpnL2018
44944,JpnL3048
47818,JpnL3048
51282,JpnL3048
24018,JpnL3048
46255,Agron1013
97020,PE5002
97093,PE2080
97172,PE5006
97123,PE2100
97173,PE5008
