課名,授課教授,開課系所,學分,最後開課學期,流水號,課號,品質,甜度,涼度,紮實,評價內容,評價明細_JSON
足球初級,楊裕隆,,1,114-2,97072,PE2071,,,,,"[""無評價""]",[]
足球中級,楊裕隆,,1,114-2,97074,PE2072,,,,,"[""無評價""]",[]
桌球初級,林信甫,,1,114-2,97075,PE2074,,,,,"[""無評價""]",[]
桌球初級,呂宛蓁,,1,114-2,97077,PE2074,5.0,4.6,1.5,2.8,"[""[User41252 | 113-1]: Table Tennis course for beginners.\nHighly recommended. Great class and great teachers.""]","[{""User_ID"": ""User41252"", ""Semester"": ""113-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""Table Tennis course for beginners.\nHighly recommended. Great class and great teachers.""}]"
桌球初級,陳逸杰,,1,114-2,97079,PE2074,5.0,5.0,2.8,1.5,"[""[User43710 | 113-2]: Table tennis\nOn site playing table tennis\nNA\nmidterm and final testing basic table tennis skills\nattendance, self-practice records, midterm and final\nvery chill mod which students can enjoy learning and playing table tennis""]","[{""User_ID"": ""User43710"", ""Semester"": ""113-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""Table tennis\nOn site playing table tennis\nNA\nmidterm and final testing basic table tennis skills\nattendance, self-practice records, midterm and final\nvery chill mod which students can enjoy learning and playing table tennis""}]"
桌球初級,王傑賢,,1,114-2,97081,PE2074,,,,,"[""無評價""]",[]
桌球中級,陳逸杰,,1,114-2,97084,PE2075,5.0,5.0,3.0,4.0,"[""[User99027 | 111-1]: 技術測驗中前兩項為期中考內容、後兩項為期末考內容，平常有在上課應該沒啥問題，就算沒考過老師也會給不少補考機會，不用太擔心！\n比賽成績為期中後的團體賽分數，運氣成分偏高，但對成績影響不大，畢竟其它分數都非常好拿\n技術測驗 40% 正手連續拉、餵多球、推側撲、發球\n學習精神 30% 曠課1次-5分，事假-3分，病假-2分，遲到-1（對，只要沒來上課就會扣分）\n比賽成績 15% 比賽綜合成績\n課外練習 10% 課外練習10小時\n書面報告 5% 學習心得與建議\n如果想拿滿出席分，每堂課就都要出席。上課通常不是打比賽就是練球，其實會消耗不少體力，所以不算特別涼。\n老師人很好，上起課來很愉快，雖然是中級班，但班上也是有不少剛學不久的同學，所以只學過一點點也不用怕跟不上大家 吧。\n就是一堂蠻不錯的體育課，有稍微訓練到桌球實力，loading也不重，給分又大方，蠻讚的。""]","[{""User_ID"": ""User99027"", ""Semester"": ""111-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""技術測驗中前兩項為期中考內容、後兩項為期末考內容，平常有在上課應該沒啥問題，就算沒考過老師也會給不少補考機會，不用太擔心！\n比賽成績為期中後的團體賽分數，運氣成分偏高，但對成績影響不大，畢竟其它分數都非常好拿\n技術測驗 40% 正手連續拉、餵多球、推側撲、發球\n學習精神 30% 曠課1次-5分，事假-3分，病假-2分，遲到-1（對，只要沒來上課就會扣分）\n比賽成績 15% 比賽綜合成績\n課外練習 10% 課外練習10小時\n書面報告 5% 學習心得與建議\n如果想拿滿出席分，每堂課就都要出席。上課通常不是打比賽就是練球，其實會消耗不少體力，所以不算特別涼。\n老師人很好，上起課來很愉快，雖然是中級班，但班上也是有不少剛學不久的同學，所以只學過一點點也不用怕跟不上大家 吧。\n就是一堂蠻不錯的體育課，有稍微訓練到桌球實力，loading也不重，給分又大方，蠻讚的。""}]"
桌球中級,王傑賢,,1,114-2,97087,PE2075,5.0,5.0,5.0,4.0,"[""[User95586 | 113-2]: 打球\n教正反手拉弧圈球\n正手撥球\n等其他較難的技術\n親口說明+叫我朋友上來幫忙做球或示範，偶爾有一些老人廢話\n球拍與桌球\n球拍會附，但都在中級了自己準備一個順手的球拍比較好\n期中和期末的個人賽，依排名區間算分(佔比較大)\n2分鐘內正手、反手、左推右攻對打\n期末團體賽(好像只佔10%)\n給分很寬鬆，排名賽有前8有A+，打得最爛的也有B-\n基本上是快樂打球，照表操課，完成後就可以自己亂打\n我排名賽拿到第一好爽""]","[{""User_ID"": ""User95586"", ""Semester"": ""113-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""打球\n教正反手拉弧圈球\n正手撥球\n等其他較難的技術\n親口說明+叫我朋友上來幫忙做球或示範，偶爾有一些老人廢話\n球拍與桌球\n球拍會附，但都在中級了自己準備一個順手的球拍比較好\n期中和期末的個人賽，依排名區間算分(佔比較大)\n2分鐘內正手、反手、左推右攻對打\n期末團體賽(好像只佔10%)\n給分很寬鬆，排名賽有前8有A+，打得最爛的也有B-\n基本上是快樂打球，照表操課，完成後就可以自己亂打\n我排名賽拿到第一好爽""}]"
排球初級,陳志一,,1,114-2,97090,PE2080,,,,,"[""[PTT | 107-2]: 轉載自 PTT 作者 ID: zeus840703 (ZZeus)\n哪一學年度修課：\n\n107-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n\n陳志一\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n\n專項運動學群\n\nδ 課程大概內容\n\n高、低手墊球與發球\n一點點攻擊動作\n\nΩ 私心推薦指數(以五分計) ★★★★★\n\n打好基礎 ☆\n了解排球規則 ☆\n想曬黑 ★★★★★\n\nη 上課用書(影印講義或是指定教科書)\n\n無\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n\n集合點名後跑排球場三圈，然後再集合(意義不明？)，接著分組熱身(隔網拋球\n、發球、墊球)。\n\n熱身大概15~25分左右，之後會講一下當週要練習哪些動作，請同學上去示範，\n然後一樣分組練習。\n\n最後就是分組打比賽，總共有7隊，整學期下來每隊都會互打到一場。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n\n我只有發球哪個項目少過一顆，最後A+，但其他人從A到A-都有，不甜。\n\nρ 考題型式、作業方式\n\n期中考：高、低手對空墊球各30下，發球8顆(高、低手皆可，但不能交換)\n期末考：兩人隔網墊球，「每人」高、低手各15下\n\n此外老師會要各隊平常自己約出來練習，期末去登記次數。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n\n沒記錯的話第一堂課有去就全簽，整班大概60人左右。\n\n先說結論，這是一堂相當不推薦的課，理由如下：\n\n雖然是排球「初級」，但老師對於動作的教學可說是幾乎沒有，以最基本的高\n、低手來說，就只是叫同學上去示範一下，沒有針對細部動作做講解。前幾堂\n課還要每組圍成一個圈來墊球，非常沒有效率的一個項目，說是要培養默契，\n我還以為在玩團康遊戲。到了學期後半讓大家練習攻擊，但攻擊步也沒教，只\n說最後一步要有一個停頓的動作，就直接開始練習，是當大家都練武奇才？排\n球規則也「完全沒有」講解，就讓大家開始打play，我認為非常不妥。\n\n另外就是天氣的問題，下學期會越上越熱，有時候難免會到樹蔭下躲太陽，然\n後老師就會叫大家不要躲太陽，學期初就跟大家提醒過blablabla。\n\n最後引用某位同學的話：\n\nhttps://i.imgur.com/xyRMG2E.jpg\n\nΨ 總結\n\n對排球有興趣的人，最好不要修這門課，只會浪費時間，搞不好還會越上越討厭\n排球。\n\n總之這門課，我覺得不行。\n\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1562252955.A.DA0.html"", ""[PTT | 106-2]: 轉載自 PTT 作者 ID: Hirugashuowl (及喀爾度)\n哪一學年度修課：\n\n106-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n\n陳志一\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n\n專項運動學群，不限科系\n\nδ 課程大概內容\n\n排球基本動作：低手/高手擊球與傳球、扣球、接球\n\n六人制分組比賽：共兩輪，也就是任兩組都要打兩場\n\n\nΩ 私心推薦指數(以五分計) ★★★★★\n\n\n不擅長運動但夢想體育課學得開心又拿到高分：★★★★★\n\n對排球不排斥且希望多交朋友：★★★★\n\n稍有排球基礎期待更加精進：★★★\n\n具備系隊等級程度並盼望與勢均力敵的對手切磋：★★\n\n重視肌膚保養或對陽光過敏或容易中暑者：★\n\n\nη 上課用書(影印講義或是指定教科書)\n\n無\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n\n先點名後慢跑排球場兩圈，然後進行熱身(拋球過網)並複習先前講過的動作，\n接著講授當週進度並分組練習，最後則是分組比賽。\n\n如果當週有測驗，則熱身完畢後要測驗的組別進行測驗，其他組別分組比賽。\n\n老師講解都只是很簡單的示範，技巧與細節通常要靠小組隊員指導，因此\n一開學的分組真‧的‧超‧級‧無‧敵‧重‧要，遇到系隊成員或運動天才是\n常做善事累積的功德，請多加珍惜。\n\n對於程度不錯的同學，這門課與其說是在精進「球技」，不如說是訓練「口才」\n，很多時候必須仰賴有經驗者傳授，一組能有一位兼具解說與技術的夥伴誠可謂\n天降甘霖，滋潤與緩和入門者惴慄不安的焦慮。\n\n\nσ 評分方式(給分甜嗎？是紮實分？)\n\n甜到作夢都會笑！(嚴重懷疑全班A+~)\n不誇張，個人排球基礎趨近於零、期中期末測驗都沒有達標尚且如此，\n遑論其他更厲害的同學。\n\n老師重視學生的學習態度勝過測驗表現，平常都是和氣親切，與學生談笑風生，\n唯二在課堂上面露慍色，是因為同學有些不太合宜的舉動，讓老師覺得不受尊重\n或違反運動家精神。\n\n至於測驗成績從來不是會讓老師動怒的原因，沒有達標也都願意再給機會補考\n或用其他方式代替，只要不是缺考都有機會給到最好。\n\n\nρ 考題型式、作業方式\n\n評分項目：出席率、平時參與、課後練習、期中測驗(低手/高手自拋自接各50下)\n期末測驗(低手/高手兩人對傳各15下)\n\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n\n要加簽務必出席第一堂課，原則上只要場地允許都會接納。\n因為一敲鐘就點名，遲到要找老師補點，次數一多印象分數可能會打折扣。\n\n理論上「初級」應該是不需要任何基礎，但只要上了幾堂就會發現同學的平均\n水準一點都不初級...這不只是這門課的問題，所有體育課都有類似的情況，從\n初學者到系隊都有，或許也讓老師在教學上產生困擾。\n\n更直接的影響會在分組比賽中呈現出來，原則上分組是隨機安排，各組程度理應\n不致有太大落差，但現實往往就是殘酷。合理推測無論是揪團去修或是巧遇，熟\n識的人往往會「調整」成同一組，強強聚集的結果使得各組間實力有明顯落差。\n而排球這種團體運動都如此，更不用說像羽球這樣上場人數少的比賽，真正的初\n學者必須有著強大的挫折忍受力，在萌芽階段就要接受狂風暴雨的襲擊，雨過天\n晴後迎向天際的彩虹。\n\n\nΨ 總結\n\n如果真的是運動苦手且懼怕單獨面對強者但又渴望認識新朋友的人，這門課\n絕對是最好的選擇。唯一本質上的缺陷就是「太陽」，4-6月的陽光具有融\n化鋼鐵意志的威力，有一次還真的太熱而去借新體的室內場地，也許秋冬來\n修會比較理想，但上學期老師要開大一體適能，不見得有多餘的學分可以開\n排球，若真的有開就請把握機會。\n\n\n\n\n\n\n\n\n\n--\n╭ 這篇文章讓你覺得？═════════════════════════╮\n║ by ycat ║y\n║ ──+ ︵ ︵ . .！ ˇ ˇ ╲ ╱ ˇˇ || ◣ ◢║c\n║￣﹀￣ ￣▽￣ ▄ ▇△▇ ≧﹏≦b ￣︶￣y ￣–￣ 皿 ║a\n║ 新奇 溫馨 誇張 難過 實用 高興 無聊 生氣 ║t\n╰══════════════════════════════════ ╯\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1531155874.A.135.html""]","[{""User_ID"": ""PTT"", ""Semester"": ""107-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: zeus840703 (ZZeus)\n哪一學年度修課：\n\n107-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n\n陳志一\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n\n專項運動學群\n\nδ 課程大概內容\n\n高、低手墊球與發球\n一點點攻擊動作\n\nΩ 私心推薦指數(以五分計) ★★★★★\n\n打好基礎 ☆\n了解排球規則 ☆\n想曬黑 ★★★★★\n\nη 上課用書(影印講義或是指定教科書)\n\n無\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n\n集合點名後跑排球場三圈，然後再集合(意義不明？)，接著分組熱身(隔網拋球\n、發球、墊球)。\n\n熱身大概15~25分左右，之後會講一下當週要練習哪些動作，請同學上去示範，\n然後一樣分組練習。\n\n最後就是分組打比賽，總共有7隊，整學期下來每隊都會互打到一場。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n\n我只有發球哪個項目少過一顆，最後A+，但其他人從A到A-都有，不甜。\n\nρ 考題型式、作業方式\n\n期中考：高、低手對空墊球各30下，發球8顆(高、低手皆可，但不能交換)\n期末考：兩人隔網墊球，「每人」高、低手各15下\n\n此外老師會要各隊平常自己約出來練習，期末去登記次數。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n\n沒記錯的話第一堂課有去就全簽，整班大概60人左右。\n\n先說結論，這是一堂相當不推薦的課，理由如下：\n\n雖然是排球「初級」，但老師對於動作的教學可說是幾乎沒有，以最基本的高\n、低手來說，就只是叫同學上去示範一下，沒有針對細部動作做講解。前幾堂\n課還要每組圍成一個圈來墊球，非常沒有效率的一個項目，說是要培養默契，\n我還以為在玩團康遊戲。到了學期後半讓大家練習攻擊，但攻擊步也沒教，只\n說最後一步要有一個停頓的動作，就直接開始練習，是當大家都練武奇才？排\n球規則也「完全沒有」講解，就讓大家開始打play，我認為非常不妥。\n\n另外就是天氣的問題，下學期會越上越熱，有時候難免會到樹蔭下躲太陽，然\n後老師就會叫大家不要躲太陽，學期初就跟大家提醒過blablabla。\n\n最後引用某位同學的話：\n\nhttps://i.imgur.com/xyRMG2E.jpg\n\nΨ 總結\n\n對排球有興趣的人，最好不要修這門課，只會浪費時間，搞不好還會越上越討厭\n排球。\n\n總之這門課，我覺得不行。\n\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1562252955.A.DA0.html""}, {""User_ID"": ""PTT"", ""Semester"": ""106-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: Hirugashuowl (及喀爾度)\n哪一學年度修課：\n\n106-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n\n陳志一\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n\n專項運動學群，不限科系\n\nδ 課程大概內容\n\n排球基本動作：低手/高手擊球與傳球、扣球、接球\n\n六人制分組比賽：共兩輪，也就是任兩組都要打兩場\n\n\nΩ 私心推薦指數(以五分計) ★★★★★\n\n\n不擅長運動但夢想體育課學得開心又拿到高分：★★★★★\n\n對排球不排斥且希望多交朋友：★★★★\n\n稍有排球基礎期待更加精進：★★★\n\n具備系隊等級程度並盼望與勢均力敵的對手切磋：★★\n\n重視肌膚保養或對陽光過敏或容易中暑者：★\n\n\nη 上課用書(影印講義或是指定教科書)\n\n無\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n\n先點名後慢跑排球場兩圈，然後進行熱身(拋球過網)並複習先前講過的動作，\n接著講授當週進度並分組練習，最後則是分組比賽。\n\n如果當週有測驗，則熱身完畢後要測驗的組別進行測驗，其他組別分組比賽。\n\n老師講解都只是很簡單的示範，技巧與細節通常要靠小組隊員指導，因此\n一開學的分組真‧的‧超‧級‧無‧敵‧重‧要，遇到系隊成員或運動天才是\n常做善事累積的功德，請多加珍惜。\n\n對於程度不錯的同學，這門課與其說是在精進「球技」，不如說是訓練「口才」\n，很多時候必須仰賴有經驗者傳授，一組能有一位兼具解說與技術的夥伴誠可謂\n天降甘霖，滋潤與緩和入門者惴慄不安的焦慮。\n\n\nσ 評分方式(給分甜嗎？是紮實分？)\n\n甜到作夢都會笑！(嚴重懷疑全班A+~)\n不誇張，個人排球基礎趨近於零、期中期末測驗都沒有達標尚且如此，\n遑論其他更厲害的同學。\n\n老師重視學生的學習態度勝過測驗表現，平常都是和氣親切，與學生談笑風生，\n唯二在課堂上面露慍色，是因為同學有些不太合宜的舉動，讓老師覺得不受尊重\n或違反運動家精神。\n\n至於測驗成績從來不是會讓老師動怒的原因，沒有達標也都願意再給機會補考\n或用其他方式代替，只要不是缺考都有機會給到最好。\n\n\nρ 考題型式、作業方式\n\n評分項目：出席率、平時參與、課後練習、期中測驗(低手/高手自拋自接各50下)\n期末測驗(低手/高手兩人對傳各15下)\n\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n\n要加簽務必出席第一堂課，原則上只要場地允許都會接納。\n因為一敲鐘就點名，遲到要找老師補點，次數一多印象分數可能會打折扣。\n\n理論上「初級」應該是不需要任何基礎，但只要上了幾堂就會發現同學的平均\n水準一點都不初級...這不只是這門課的問題，所有體育課都有類似的情況，從\n初學者到系隊都有，或許也讓老師在教學上產生困擾。\n\n更直接的影響會在分組比賽中呈現出來，原則上分組是隨機安排，各組程度理應\n不致有太大落差，但現實往往就是殘酷。合理推測無論是揪團去修或是巧遇，熟\n識的人往往會「調整」成同一組，強強聚集的結果使得各組間實力有明顯落差。\n而排球這種團體運動都如此，更不用說像羽球這樣上場人數少的比賽，真正的初\n學者必須有著強大的挫折忍受力，在萌芽階段就要接受狂風暴雨的襲擊，雨過天\n晴後迎向天際的彩虹。\n\n\nΨ 總結\n\n如果真的是運動苦手且懼怕單獨面對強者但又渴望認識新朋友的人，這門課\n絕對是最好的選擇。唯一本質上的缺陷就是「太陽」，4-6月的陽光具有融\n化鋼鐵意志的威力，有一次還真的太熱而去借新體的室內場地，也許秋冬來\n修會比較理想，但上學期老師要開大一體適能，不見得有多餘的學分可以開\n排球，若真的有開就請把握機會。\n\n\n\n\n\n\n\n\n\n--\n╭ 這篇文章讓你覺得？═════════════════════════╮\n║ by ycat ║y\n║ ──+ ︵ ︵ . .！ ˇ ˇ ╲ ╱ ˇˇ || ◣ ◢║c\n║￣﹀￣ ￣▽￣ ▄ ▇△▇ ≧﹏≦b ￣︶￣y ￣–￣ 皿 ║a\n║ 新奇 溫馨 誇張 難過 實用 高興 無聊 生氣 ║t\n╰══════════════════════════════════ ╯\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1531155874.A.135.html""}]"
排球初級,胡林煥,,1,114-2,97093,PE2080,,,,,"[""[PTT | 105-2]: 轉載自 PTT 作者 ID: egg1127 (egg1127)\n哪一學年度修課：105-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n\n胡林煥\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n\n專項體育課程\n\nδ 課程大概內容\n\n課程簡介、上課須知、基本資料填寫\n低手傳接球基本動作介紹與演練\n高手傳接球基本動作介紹與演練\n綜合演練\n發球、接發球動作介紹與演練\n舉球動作介紹與演練\n扣球動作介紹與演練\n隊形講解、分組比賽\n\nΩ 私心推薦指數(以五分計)\n\n有排球基礎 ★★★★★\n有心學好動作 ★★★★★\n願意花時間練習 ★★★★★\n怕曬太陽 ★\n想混體育學分 ★\n\nη 上課用書(影印講義或是指定教科書)\n\n無\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n\n老師會先集合大家講解今天要上的內容，再讓大家分開兩兩練習。課間也會再\n集合一兩次講解別的動作。下課前集合點名。\n\n老師是校男排的教練，動作標準、講解清楚，上課非常認真，在各自練習的時\n候老師也會巡視整個球場，修正大家的動作，私底下有問題也會很有耐心的教，甚至是幫\n你看非課堂進度的動作XD\n\nσ 評分方式(給分甜嗎？是紮實分？)\n\n發球（10球）20%\n觀賽報告 10%\n期中考--個人對空連續擊球（低手、高手各40下）10%\n期末考--雙人連續擊球（低手、高手各40下，會看動作正確性與流暢度）30%\n課堂表現 10%\n出缺席 20%\n\n算是紮實分吧！考多少算多少，因此如果個人比較弱的就要自己花時間練習，\n畢竟考試項目都是不難卻需要練習的動作，如果是系排或是有一定基礎的其實不太需要另\n外準備。\n\n不過考試可以重考，老師人很好只要時間許可，基本上能一直重考XD 有看到老\n師下課留下來補考。\n\n老師相當注重出席，第一堂就有強調，如果是喜歡遲到還有缺課的人還是不要\n修比較好。\n\nρ 考題型式、作業方式\n\n觀賽報告顧名思義就是要去看正式比賽，校內的不算，像是老師介紹我們去看U\nVL，不會很難寫，主要著重在觀察隊伍模式以及某位選手個人表現即可。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n\n第一週不要遲到，只要老師手上的加簽碼夠，就會全簽（老師認為願意來曬太\n陽運動就是好事XD)\n\n老師是位認真的人，期末成績非常快就送到，適合想要趕快得到成績的人。\n\nΨ 總結\n\n雖然是排初，但班上大部分的同學都有一定程度，老師可能會按照狀況調整課\n程內容（考試項目不變），如果是完全初學的同學可能要加強心理素質不要覺得太挫敗，\n否則在練對空的時候看到隔壁場有人在打攻擊會嚇到XD\n\n我們這學期因為遇到老師要帶校隊比賽以及一些放假，真正上到課只有10週左\n右，在課程進度上或練習上都有點趕，扣球、舉球其實沒什麼練習到，雨天也不能出去打\n球，實際上到的課沒有太多，不過期末也因此少考了高手對打。\n\n結論：好課，推！\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1499062133.A.BE3.html""]","[{""User_ID"": ""PTT"", ""Semester"": ""105-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: egg1127 (egg1127)\n哪一學年度修課：105-2\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n\n胡林煥\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n\n專項體育課程\n\nδ 課程大概內容\n\n課程簡介、上課須知、基本資料填寫\n低手傳接球基本動作介紹與演練\n高手傳接球基本動作介紹與演練\n綜合演練\n發球、接發球動作介紹與演練\n舉球動作介紹與演練\n扣球動作介紹與演練\n隊形講解、分組比賽\n\nΩ 私心推薦指數(以五分計)\n\n有排球基礎 ★★★★★\n有心學好動作 ★★★★★\n願意花時間練習 ★★★★★\n怕曬太陽 ★\n想混體育學分 ★\n\nη 上課用書(影印講義或是指定教科書)\n\n無\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n\n老師會先集合大家講解今天要上的內容，再讓大家分開兩兩練習。課間也會再\n集合一兩次講解別的動作。下課前集合點名。\n\n老師是校男排的教練，動作標準、講解清楚，上課非常認真，在各自練習的時\n候老師也會巡視整個球場，修正大家的動作，私底下有問題也會很有耐心的教，甚至是幫\n你看非課堂進度的動作XD\n\nσ 評分方式(給分甜嗎？是紮實分？)\n\n發球（10球）20%\n觀賽報告 10%\n期中考--個人對空連續擊球（低手、高手各40下）10%\n期末考--雙人連續擊球（低手、高手各40下，會看動作正確性與流暢度）30%\n課堂表現 10%\n出缺席 20%\n\n算是紮實分吧！考多少算多少，因此如果個人比較弱的就要自己花時間練習，\n畢竟考試項目都是不難卻需要練習的動作，如果是系排或是有一定基礎的其實不太需要另\n外準備。\n\n不過考試可以重考，老師人很好只要時間許可，基本上能一直重考XD 有看到老\n師下課留下來補考。\n\n老師相當注重出席，第一堂就有強調，如果是喜歡遲到還有缺課的人還是不要\n修比較好。\n\nρ 考題型式、作業方式\n\n觀賽報告顧名思義就是要去看正式比賽，校內的不算，像是老師介紹我們去看U\nVL，不會很難寫，主要著重在觀察隊伍模式以及某位選手個人表現即可。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n\n第一週不要遲到，只要老師手上的加簽碼夠，就會全簽（老師認為願意來曬太\n陽運動就是好事XD)\n\n老師是位認真的人，期末成績非常快就送到，適合想要趕快得到成績的人。\n\nΨ 總結\n\n雖然是排初，但班上大部分的同學都有一定程度，老師可能會按照狀況調整課\n程內容（考試項目不變），如果是完全初學的同學可能要加強心理素質不要覺得太挫敗，\n否則在練對空的時候看到隔壁場有人在打攻擊會嚇到XD\n\n我們這學期因為遇到老師要帶校隊比賽以及一些放假，真正上到課只有10週左\n右，在課程進度上或練習上都有點趕，扣球、舉球其實沒什麼練習到，雨天也不能出去打\n球，實際上到的課沒有太多，不過期末也因此少考了高手對打。\n\n結論：好課，推！\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1499062133.A.BE3.html""}]"
排球初級,呂宛蓁,,1,114-2,97091,PE2080,4.5,4.5,4.0,2.5,"[""[User64309 | 113-2]: 可以學到最基本的排球知識又可以讓我們體驗到競賽的感覺，遺憾的是經常下雨令練習時間減短了"", ""[User07249 | 113-1]: Beginning Volleyball skills.\nHands-on and fun-focused with intensity.\nHitting and serving exams.\nBased on hitting scores\nGreat class, one of my favorites at NTU""]","[{""User_ID"": ""User64309"", ""Semester"": ""113-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""可以學到最基本的排球知識又可以讓我們體驗到競賽的感覺，遺憾的是經常下雨令練習時間減短了""}, {""User_ID"": ""User07249"", ""Semester"": ""113-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""Beginning Volleyball skills.\nHands-on and fun-focused with intensity.\nHitting and serving exams.\nBased on hitting scores\nGreat class, one of my favorites at NTU""}]"
排球中級,胡林煥,,1,114-2,97096,PE2081,5.0,5.0,3.0,3.0,"[""[User94081 | 113-1]: There is one short film that each team has to make and present and as \""final\"" each player individually has to do 10 serves in a small square.\nThe grading consists of 5 components:\n1. The film\n2. In-class performance\n3. Attendance\n4. Hitting 10 serves\n5. In-class tournament ranking\nThis course, as its name suggests, is not for beginners. I genuinely mean that. You need quite a bit of volleyball experience to attend this course. It is expected that you have a basic understanding of positioning, runner systems, and be proficient in all techniques. I was surprised by the high skill level of the students in an intermediate course. Overall, it was a great course. It wasn’t too demanding, and there was no homework except for the short film. However, I wouldn’t necessarily recommend this course to non-Chinese speakers because it is fully taught in Chinese. Fortunately, I had supportive teammates who translated the most important information for me. Great people, great lecturer, learned alot, can recommend this course!""]","[{""User_ID"": ""User94081"", ""Semester"": ""113-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""There is one short film that each team has to make and present and as \""final\"" each player individually has to do 10 serves in a small square.\nThe grading consists of 5 components:\n1. The film\n2. In-class performance\n3. Attendance\n4. Hitting 10 serves\n5. In-class tournament ranking\nThis course, as its name suggests, is not for beginners. I genuinely mean that. You need quite a bit of volleyball experience to attend this course. It is expected that you have a basic understanding of positioning, runner systems, and be proficient in all techniques. I was surprised by the high skill level of the students in an intermediate course. Overall, it was a great course. It wasn’t too demanding, and there was no homework except for the short film. However, I wouldn’t necessarily recommend this course to non-Chinese speakers because it is fully taught in Chinese. Fortunately, I had supportive teammates who translated the most important information for me. Great people, great lecturer, learned alot, can recommend this course!""}]"
