課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,詳情頁URL
名畫背後：藝術中的故事與象徵,陳淑華,70103,TA11420012,TAATC8073,選修,,"三 A,B,C",和平 美502,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70103
視覺藝術研究法與寫作,趙可卿,70886,TA11420013,TAATU0331,選修,,"二 10,A",和平 美203,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70886
管理決策分析,高安德,70111,TA11420014,TABAU0073,選修,,"四 2,3,4",和平 正405,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70111
自然碳匯分析,王經文,70115,TA11420015,TABIC9069,選修,,"一 2,3,4",公館 Ｅ201,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70115
生技醫藥產業創業風險管理與節稅規劃,劉福運,70117,TA11420016,TABPM0015,選修,,"一 9,10",公館 Ｓ202,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70117
民主政治教育專題研究,鄭楷立,70605,TA11420017,TACED0122,選修,,"四 2,3,4",和平 誠4樓公領系,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70605
公民與社會課程研究,王錦雀,70609,TA11420019,TACEM0171,選修,,"五 6,7,8",和平 誠4樓公領系,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70609
冒險治療,謝宜蓉,70985,TA11420021,TACEU0481,選修,,"四 8,9",和平 誠大樓公團,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70985
野外獨處,蕭如軒,70901,TA11420022,TACEU0485,選修,,"一 3,4",和平 誠大樓公團,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70901
身體觀與道家思想專題研討,鄭燦山,70144,TA11420023,TACHC8048,選修,,"一 7,8,9",和平 勤602,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70144
跨文化道家哲學：老子與莊子,劉滄龍,70146,TA11420024,TACHC9009,選修,,"三 A,B",和平 正102,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70146
發現臺灣南島語,理克,70147,TA11420025,TACHC9010,選修,,"三 3,4",和平 樸302,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70147
語言問卷,理克,70148,TA11420026,TACHC9012,選修,,"二 3,4",和平 樸205,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70148
漢學導論,朱雯琪,70149,TA11420027,TACHC9015,選修,,"五 2,3,4",和平 譯505,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70149
春秋繁露,郭芳如,70991,TA11420028,TACHU0349,選修,,"四 8,9",和平 樸203,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70991
華語修辭學,陳嘉凌,70797,TA11420032,TACLU1012,選修,,"四 8,9",和平 正402A,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70797
國學導讀,陳嘉凌,70639,TA11420033,TACLU1021,選修,,"二 6,7,8",和平 正402A,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70639
生物物理化學特論 （一）,王彥士,70162,TA11420034,TACMC9021,選修,,"二 2,3,4",公館 Ｓ504,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70162
資訊系統專論（一）,王鈞右,70167,TA11420035,TACSC0065,選修,,"五 7,8,9",公館 Ｓ204,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70167
學習與教學導論,胡翠君,70178,TA11420036,TAE0U0008,選修,,"四 3,4",和平 正105,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70178
東南亞政經專題研究,范世平,70188,TA11420037,TAEAC8058,選修,,"一 2,3,4",和平 東亞系第一,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70188
教育社會學理論研究,黃庭康,70196,TA11420038,TAEDC8016,選修,,"二 6,7,8",和平 教801,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70196
華語社會音樂研究,許馨文,70205,TA11420039,TAEMM0123,選修,,"一 8,9",和平 系所自排,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70205
抵抗閱讀：當代女性主義研究選讀,戴宇呈,70209,TA11420040,TAENC1129,選修,,"四 6,7,8",和平 正102,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70209
倦怠專題研究,黃涵榆,70210,TA11420041,TAENC1131,選修,,"二 2,3,4",和平 雲201,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70210
數位人文與基礎設施,楊志偉,70211,TA11420042,TAENC1132,選修,,"一 2,3,4",和平 雲202,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70211
演講與發表技巧,吳佳琪,70219,TA11420043,TAENU5017,選修,,"二 6,7",和平 正306,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70219
跨文化溝通,詹曉蕙,70220,TA11420044,TAENU5018,選修,,"四 8,9",和平 誠701A,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70220
歐洲電影概論,梁孫傑,70246,TA11420045,TAETU0002,選修,,"三 10,A,B",和平 博413,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70246
全球媒體專題,邱愷欣,70811,TA11420046,TAGBU0013,選修,,"四 3,4,5",和平 樸202,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70811
國際政治經濟學概論,姚仕帆,70812,TA11420047,TAGBU0014,選修,,"二 2,3,4",公館 Ｃ003,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70812
移民與海外華人研究,沈英杰,70249,TA11420048,TAGBU0021,選修,,"四 7,8,9",和平 誠201,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70249
社會科學研究導論,姚仕帆,70251,TA11420049,TAGBU0034,選修,,"一 6,7,8",和平 教202會議廳,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70251
全球研究方法,姚仕帆,70252,TA11420050,TAGBU0036,選修,,"三 6,7,8",公館 Ｃ003,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70252
環境DNA,陳瑩,70261,TA11420051,TAGEC9003,選修,,"一 6,7",和平 正106,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70261
歐洲的人口、文化及移民,莫家俊,70263,TA11420052,TAGEU0252,選修,,"一 7,8,9",和平 正205,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70263
盛行疾病之預防,朱妮明,70272,TA11420053,TAHEC8027,選修,,"二 8,9",和平 誠505,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70272
組織發展與衛生教育,胡益進,70818,TA11420054,TAHED0009,選修,,"五 3,4",和平 誠505,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70818
日文歷史名著選讀研討,周東怡,70287,TA11420055,TAHIC9043,選修,,"二 2,3,4",和平 正406,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70287
臺灣歷史上的戰爭與社會研討,陳南旭,70288,TA11420056,TAHIC9046,選修,,"三 6,7,8",和平 正406,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70288
環境、安全與臺灣宗教教研討,吳有能,70289,TA11420057,TAHIC9052,選修,,"一 9,10,A",和平 誠105,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70289
中級客語（二）,左春香,70366,TA11420062,TAL0U6004,選修,,"三 8,9",和平 樸202,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70366
臺灣客家禮俗文化導讀,謝淑熙,70369,TA11420064,TAL0U6016,選修,,"一 3,4",和平 正401,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70369
客語廣播實務,廖芳瀅,70370,TA11420065,TAL0U6017,選修,,"四 3,4",和平 樸407,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70370
客家飲食文化,廖芳瀅,70372,TA11420066,TAL0U6019,選修,,"四 6,7",和平 正101,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70372
計數組合專題（二）,游森棚,70383,TA11420067,TAMAC8036,選修,,"二 2,3,4",公館 數學館M310,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70383
科學計算特論,陳賢修,70385,TA11420068,TAMAC9030,選修,,"五 6,7,8",公館 Ｅ201,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70385
資料庫行銷,周世玉,70388,TA11420069,TAMBC9001,選修,,"一 6,7,8",和平 正404,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70388
機器人職場管理,蕭維傑,70395,TA11420070,TAMCM0128,選修,,"二 7,8,9",和平 綜7樓大傳所,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/70395
探索流行音樂,司信寧,70405,TA11420071,TAMUC9034,選修,,"五 6,7",和平 音210,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70405
理論作曲（八）,陳瓊瑜,70408,TA11420072,TAMUU0274,選修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/70408
聲樂（副修）八,林孟君,70409,TA11420073,TAMUU0286,選修,,,,3 類,,,,https://course.ntu.edu.tw/courses/114-2/70409
電子琴概論（二）,陳怡婷,70410,TA11420074,TAMUU0336,選修,,"五 6,7",和平 音409,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70410
對位與賦格（四）,黃苓瑄,70411,TA11420075,TAMUU0348,選修,,"一 3,4",和平 音209,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70411
