課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
公共衛生實務實習CEPH規範,黃柏堯,59879,MPH7013,847 M0310,必修,公共衛生碩士學位學程,,,2 類,中文授課,3,2,本課程為臺大公共衛生碩士學位學程學生畢業必修之實習 (Practicum) 學分。,"本課程透過實習，培養公衛碩士學位學程學生下列五項基本專業能力 ：
1.能基於健康行為與社區科學理論來發展、執行及評估公共衛生計畫與政策。
2.能整合社會、心理及行為決定因素相關之健康議題。
3.能評估行為與社區科學相關之方法學與倫理議題。
4.能根據社會與行為科學理論，分析人際互動與溝通模式如何形塑人類行為。
5.能整合運用不同技巧來進行社區關係評估，並讓具有不同社會、經濟及文化背景的社區民眾參與其中。",學生實習計畫需事先經學程核准，邀請三位委員組成口試委員會，通過實習計畫口試後，依照委員建議修正實習計畫。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。MPH碩二核心必修課程。上課時間地點請洽授課教師。,,https://course.ntu.edu.tw/courses/114-2/59879
公共衛生實務實習CEPH規範,羅宇軒,57510,MPH7013,847 M0310,必修,公共衛生碩士學位學程,,,2 類,中文授課,3,1,本課程為臺大公共衛生碩士學位學程學生畢業必修之實習 (Practicum) 學分。,"本課程透過實習，培養公衛碩士學位學程學生下列五項基本專業能力 ：
1.檢視用於識別和評估重大環境和職業危害來源及健康影響之方法。
2.使用科學方法分析並溝通重要的食品安全議題。
3.分析環境健康政策制定的關鍵要素和過程，並進行批判性評論。
4.透過系統性和科學性的方法分析重要的環境健康議題。
5.認識影響在環境和職業場所暴露所產生的健康效應易感性的因素。",學生實習計畫需事先經學程核准，邀請三位委員組成口試委員會，通過實習計畫口試後，依照委員建議修正實習計畫。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。MPH碩二核心必修課程。上課時間地點請洽授課教師。,,https://course.ntu.edu.tw/courses/114-2/57510
公共衛生實務實習CEPH規範,陳家揚,51480,MPH7013,847 M0310,必修,公共衛生碩士學位學程,,,2 類,中文授課,3,1,本課程為臺大公共衛生碩士學位學程學生畢業必修之實習 (Practicum) 學分。,"本課程透過實習，培養公衛碩士學位學程學生下列五項基本專業能力 ：
1.檢視用於識別和評估重大環境和職業危害來源及健康影響之方法。
2.使用科學方法分析並溝通重要的食品安全議題。
3.分析環境健康政策制定的關鍵要素和過程，並進行批判性評論。
4.透過系統性和科學性的方法分析重要的環境健康議題。
5.認識影響在環境和職業場所暴露所產生的健康效應易感性的因素。",學生實習計畫需事先經學程核准，邀請三位委員組成口試委員會，通過實習計畫口試後，依照委員建議修正實習計畫。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。MPH碩二核心必修課程。上課時間地點請洽授課教師。,,https://course.ntu.edu.tw/courses/114-2/51480
公共衛生實務實習CEPH規範,杜裕康,59662,MPH7013,847 M0310,必修,公共衛生碩士學位學程,,,2 類,中文授課,3,1,本課程為臺大公共衛生碩士學位學程學生畢業必修之實習 (Practicum) 學分。,"本課程透過實習，培養公衛碩士學位學程學生下列五項基本專業能力 ：
1.應用進階統計方法於公共衛生領域裡的長期追蹤、集群或相關數據，並能以淺顯易懂的語言來解釋結果。
2.能把臨床與流行病學問題建構為可檢驗的研究假設，設計實驗並選擇適當統計方法來檢驗此假設。
3.能選擇適當的統計方法來分析建模各種研究設計中不同類型之數據。
4.能綜合進階量化方法的分析結果來得出有效的推論與總結。
5.能將特定研究設計、統計分析、綜合科學與系統科學分析的結果，以清楚易懂語言提供公共衛生從業人員作決策參考。",學生實習計畫需事先經學程核准，邀請三位委員組成口試委員會，通過實習計畫口試後，依照委員建議修正實習計畫。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。MPH碩二核心必修課程。上課時間地點請洽授課教師。,,https://course.ntu.edu.tw/courses/114-2/59662
公共衛生實務實習CEPH規範,陳雅美,44644,MPH7013,847 M0310,必修,公共衛生碩士學位學程,,,2 類,中文授課,3,1,本課程為臺大公共衛生碩士學位學程學生畢業必修之實習 (Practicum) 學分。,"本課程透過實習，培養公衛碩士學位學程學生下列五項基本專業能力 ：
1.能提出解決方法，以改善台灣健康體系的績效。
2.能有效運作健康服務組織，並發展策略以提升組織的地位。
3.能辨識政策制定的關鍵組成部分和過程，並利用研究方法的原則和技術以改進政策制定品質，促進群體健康。
4.系統性辨識和分析台灣當前的政策議題； 評估政策的效果、效率和公平性，並為這些議題找到可行的解決方案。
5.能應用經濟、健康管理知識和政策分析，以了解與健康照護服務相關的成本議題，並為健康照護部門或服務組織製定財務管理計畫和預算。",學生實習計畫需事先經學程核准，邀請三位委員組成口試委員會，通過實習計畫口試後，依照委員建議修正實習計畫。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。MPH碩二核心必修課程。上課時間地點請洽授課教師。,,https://course.ntu.edu.tw/courses/114-2/44644
公共衛生實務實習CEPH規範,李柏翰,27146,MPH7013,847 M0310,必修,公共衛生碩士學位學程,,,2 類,中文授課,3,1,本課程為臺大公共衛生碩士學位學程學生畢業必修之實習 (Practicum) 學分。,"本課程透過實習，培養公衛碩士學位學程學生下列五項基本專業能力 ：
1.能提出解決方法，以改善台灣健康體系的績效。
2.能有效運作健康服務組織，並發展策略以提升組織的地位。
3.能辨識政策制定的關鍵組成部分和過程，並利用研究方法的原則和技術以改進政策制定品質，促進群體健康。
4.系統性辨識和分析台灣當前的政策議題； 評估政策的效果、效率和公平性，並為這些議題找到可行的解決方案。
5.能應用經濟、健康管理知識和政策分析，以了解與健康照護服務相關的成本議題，並為健康照護部門或服務組織製定財務管理計畫和預算。",學生實習計畫需事先經學程核准，邀請三位委員組成口試委員會，通過實習計畫口試後，依照委員建議修正實習計畫。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。MPH碩二核心必修課程。上課時間地點請洽授課教師。,,https://course.ntu.edu.tw/courses/114-2/27146
公共衛生實務實習CEPH規範,郭育良,21465,MPH7013,847 M0310,必修,公共衛生碩士學位學程,,,2 類,中文授課,3,1,課程為臺大公共衛生碩士學位學程學生畢業必修之實習 (Practicum) 學分。,"本課程透過實習，培養公衛碩士學位學程學生下列五項基本專業能力 ：
1.檢視用於識別和評估重大環境和職業危害來源及健康影響之方法。
2.使用科學方法分析並溝通重要的食品安全議題。
3.分析環境健康政策制定的關鍵要素和過程，並進行批判性評論。
4.透過系統性和科學性的方法分析重要的環境健康議題。
5.認識影響在環境和職業場所暴露所產生的健康效應易感性的因素。",學生實習計畫需事先經學程核准，邀請三位委員組成口試委員會，通過實習計畫口試後，依照委員建議修正實習計畫。,"0%	


0%	


0%	

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。MPH碩二核心必修課程。上課時間地點請洽授課教師。,,https://course.ntu.edu.tw/courses/114-2/21465
公共衛生實務實習CEPH規範,游曉微,46383,MPH7013,847 M0310,必修,公共衛生碩士學位學程,,,2 類,中文授課,3,1,本課程為臺大公共衛生碩士學位學程學生畢業必修之實習 (Practicum) 學分。,"本課程透過實習，培養公衛碩士學位學程學生下列五項基本專業能力 ：
1.能提出解決方法，以改善台灣健康體系的績效。
2.能有效運作健康服務組織，並發展策略以提升組織的地位。
3.能辨識政策制定的關鍵組成部分和過程，並利用研究方法的原則和技術以改進政策制定品質，促進群體健康。
4.系統性辨識和分析台灣當前的政策議題； 評估政策的效果、效率和公平性，並為這些議題找到可行的解決方案。
5.能應用經濟、健康管理知識和政策分析，以了解與健康照護服務相關的成本議題，並為健康照護部門或服務組織製定財務管理計畫和預算。",學生實習計畫需事先經學程核准，邀請三位委員組成口試委員會，通過實習計畫口試後，依照委員建議修正實習計畫。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。MPH碩二核心必修課程。上課時間地點請洽授課教師。,,https://course.ntu.edu.tw/courses/114-2/46383
碩士論文,董鈺琪,50428,MPH7999,847 M0010,必修,公共衛生碩士學位學程,,,1 類,中文授課,0,50,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",當學期欲畢業之同學必選。,,https://course.ntu.edu.tw/courses/114-2/50428
材料科學導論二,劉振良,36647,MSE1009,507 10700,必修,材料科學與工程學系 / 奈米科技學程 / 工學院院學士學位,,,2 類,中文授課,3,80,"本學習的課程包含三大部分，分別是高分子材料、陶瓷材料與電子材料 
三個部份各占學期成績1/3","高分子的部份 
1.學完以後能夠記住常用的高分子材料化學結構 
2.學完以後能夠知道最基礎的高分子聚合反應 
3.學完以後能夠知道基礎的高分子結構，包含平均分子量、分子鏈構型、高分子非晶質、高分子結晶結構 
4.學完以後能夠了解簡單的高分子結晶動力學與玻璃轉移溫度 
5.學完以後能夠了解高分子機械性質與黏彈性質 
6.學完以後能夠高分子複合材料的結構與機械性質 
7.學完以後能夠高分子加工方式 



1. Magnetic properties 

1-1 Basic concepts 
1-2 Diamagnetism and paramagnetism 
1-3 Ferromagnetism 
1-4 Antiferromagnetism and ferromagnetism 
1-5 The influence of temperature on magnetic behavior 
1-6 Domains and hysterises 
1-7 Soft magnetic materials 
1-8 Hard magnetic materials 
1-9 Magnetic storage 
1-10 Superconductivity 

2. Electrical properties 

Electrical conductivity 

2-1 Ohm’s law 
2-2 Electrical conductivity 
2-3 Electronic and ionic conduction 
2-4 Energy band structure in solids 
2-5 Conduction in terms of band and atomic bonding models 
2-6 Electron mobility 
2-7 Electrical resistivity of metals 
2-8 Electrical characteristics of commercial alloys 

Semiconductivity 

2-9 Intrinsic semiconduction 
2-10 Extrinsic semiconduction 
2-11 The temperature variation of conductivity and carrier concentration 
2-12 The Hall effect 
2-13 Semiconductor Devices 

Electrical conduction in ionic ceramics and in polymers 

2-14 Conduction in ionic materials 
2-15 Electrical properties of polymers 

Dielectric behavior 

2-16 Capacitance 
2-17 Field vectors and polarization 
2-18 Types of polarization 
2-19 Frequency dependence of the dielectric constant 
2-20 Dielectric strength 
2-21 Dielectric materials 

Other electrical characteristics of materials 

2-22 Ferroelectricity 
2-23 Piezoelectricity",,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","材料系、奈米科技學程 與段維新、陳學禮合授
工學院院學士 院學士核心必修-乙組與段維新、陳學禮合授",,https://course.ntu.edu.tw/courses/114-2/36647
程式設計,陳俊杉,24496,MSE1010,507 10800,必帶,材料科學與工程學系,,計中212室。,2 類,中文授課,3,60,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",上課地點：計中212室。,,https://course.ntu.edu.tw/courses/114-2/24496
工程數學下,黃晧庭,49080,MSE2003,507 20102,必修,材料科學與工程學系 / 工學院院學士學位,"三 6, 7普302","二 6, 7普403",2 類,中文授課,3,65,介紹工程科學中常用數學工具及其基本原理,"1.瞭解常微分方程式之相關理論，藉以分析常見工程問題

2.熟悉常微分方程式重要類型，並能求得其解析解

3.瞭解線性代數之相關理論，學習運用矩陣求解工程問題

4.熟悉冪級數之相關理論，藉以求得微分方程式之冪級解",待補,"30%	

Midterm I


30%	

Midterm II


40%	

Final

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",院學士核心必修-甲、乙組,每週四小時/課後學習時數八小時,https://course.ntu.edu.tw/courses/114-2/49080
高分子材料概論,蔡豐羽,44670,MSE2010,507 20500,必修,材料科學與工程學系 / 工學院院學士學位,,,2 類,中文授課,3,60,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/44670
材料科學與工程實驗二,劉振良,44587,MSE2011,507 20600,必帶,材料科學與工程學系,,,2 類,中文授課,1,60,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與段維新、陳俊維合授,,https://course.ntu.edu.tw/courses/114-2/44587
陶瓷材料科學,郭錦龍,47340,MSE2014,507 20900,必修,材料科學與工程學系,,,2 類,中文授課,3,60,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/47340
物理冶金,顏鴻威,49527,MSE2020,507 21200,必修,材料科學與工程學系 / 工學院院學士學位,"四 6, 7, 8綜301",一 5綜604,3 類,中文授課,4,70,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","材料系 與吳欣潔合授
工學院院學士 院核心必修科目-乙組與吳欣潔合授",,https://course.ntu.edu.tw/courses/114-2/49527
材料熱力學二,高振宏,58850,MSE3001,507 30110,必帶,材料科學與工程學系,,,2 類,中文授課,3,70,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/58850
電子材料概論,陳敏璋,20093,MSE3003,507 30300,必修,材料科學與工程學系 / 奈米科技學程,,,2 類,中文授課,3,50,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/20093
學士專題研究二,劉振良,50165,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/50165
學士專題研究二,黃晧庭,27539,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/27539
學士專題研究二,顏鴻威,44052,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/44052
學士專題研究二,羅世強,23068,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/23068
學士專題研究二,周苡嘉,44609,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/44609
學士專題研究二,林招松,23088,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/23088
學士專題研究二,高振宏,58033,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/58033
學士專題研究二,林新智,28952,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/28952
學士專題研究二,郭錦龍,48471,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/48471
學士專題研究二,蘇德徵,44068,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/44068
學士專題研究二,陳志軒,21561,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/21561
學士專題研究二,吳欣潔,18424,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/18424
學士專題研究二,蔡劭璞,41384,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/41384
學士專題研究二,蔡豐羽,17822,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/17822
學士專題研究二,陳學禮,34868,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/34868
學士專題研究二,陳俊維,59438,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/59438
學士專題研究二,陳俊杉,44601,MSE5008,527 U0180,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/44601
學士專題研究四,蔡劭璞,27974,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,英文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。本課程以英語授課。,,https://course.ntu.edu.tw/courses/114-2/27974
學士專題研究四,謝宗霖,48078,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/48078
學士專題研究四,羅世強,36364,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/36364
學士專題研究四,林招松,47155,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/47155
學士專題研究四,蘇德徵,59486,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/59486
學士專題研究四,顏鴻威,27736,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/27736
學士專題研究四,陳俊維,23343,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/23343
學士專題研究四,陳學禮,57313,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/57313
學士專題研究四,趙基揚,23995,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/23995
學士專題研究四,黃晧庭,59025,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/59025
學士專題研究四,陳俊杉,58593,MSE5010,527 U0200,選修,材料科學與工程學系,,,2 類,中文授課,2,3,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。,,https://course.ntu.edu.tw/courses/114-2/58593
半導體製程技術,陳學禮,31822,MSE5013,527 U1050,選修,材料科學與工程學系 / 綠色永續材料與精密元件博士學位學程 / 材料科學與工程學研究所,,,2 類,中文授課,3,40,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/31822
合成有機化學,趙基揚,23606,MSE5027,527 U3100,選修,材料科學與工程學系,,,2 類,中文授課,3,50,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/23606
能源材料,陳俊維,34387,MSE5035,527 U3190,選修,材料科學與工程學系 / 能源科技學程 / 離岸風力發電學分學程 / 材料科學與工程學研究所,,,2 類,英文授課,3,80,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。,,https://course.ntu.edu.tw/courses/114-2/34387
軟性電子材料與元件,劉振良,16214,MSE5040,527 U3340,選修,材料科學與工程學研究所,,,2 類,中文授課,3,50,"1.	 History of organic conjugated polymers
2.	 Design and synthesis of organic conjugated polymers 
3.	 Organic light emitting diode 
4.	 Organic transistor 
5.	 Organic photovoltaic","This course will help students with no or limited prior background in this field to acquire a general and overall understanding of organic electronics especially basic theory, applications, challenges, and recent developments, etc.",An elementary course in Introduction to Materials and Organic Chemistry are helpful.,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/16214
散射原理與應用,曹正熙,51012,MSE5049,527 U0310,選修,材料科學與工程學系 / 奈米科技學程 / 材料科學與工程學研究所,,,2 類,中文授課,3,80,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/51012
