課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
穀物原料及加工,賴喜美,38810,AC5034,623 U3550,選修,農業化學系 / 農業化學研究所,"四 1, 2",,2 類,中文授課,3,10,"This course includes 2 hr-lecture and one laboratory every week. The cereal chemistry, properties, processing, and products, mainly wheat and rice products, will be introduced. Through the training and practice in the laboratory, the analysis of flour properties, bakery products and cereal products processing will be carried out.","Cereals is the most important crops, which provide the staple food for human, especial the wheat and rice. Various wheat and rice processed products are available in markets. The qualities of products depend on the properties of ingredients and processing. This course will provide the knowledge related to the cereal science and baking science and the technological training and practice of bakery products making and cereal processing.",The students are suggested to take either Food Chemistry or Chemical Analysis of Biomaterials or related courses first.,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",實習課週六上午10:00在加工實驗室進行;修畢食品分析或食化者優先。,,https://course.ntu.edu.tw/courses/114-2/38810
生物資源化學,郭琬媛。與黃玉萍合授,20754,AC5048,623 U4130,選修,農業化學系,"二 6, 7",,2 類,中文授課,2,30,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。合開教師：郭琬媛。與黃玉萍合授",,https://course.ntu.edu.tw/courses/114-2/20754
土壤物理化學,王尚禮,46397,AC5054,623 U4210,選修,農業化學系 / 農業化學研究所,"五 1, 2",,2 類,中文授課,2,10,介紹土壤反應與過程之熱力學和動力學之基礎原理，礦物/水界面間表面錯合反應模式，物化模式發展與應用之基本觀念，以及如何應用模式工具來定量描述土壤環境中所發生的重要理化現象。。,探討土壤和水環境之反應與過程的化學熱力學和動力學之基礎原理，並引導學生如何應用這些原理及瞭解土壤與環境化學相關現象,作業頻率大約兩週一次，繳交期限為次週上課時，逾期不收。,"60%	

作業

大約每兩週一次


20%	

期中考


20%	

期末考

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。",,https://course.ntu.edu.tw/courses/114-2/46397
微生物遺傳學,吳蕙芬,46944,AC5064,623 U4320,選修,農業化學系 / 農業化學研究所,,,1 類,中文授課,2,40,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",群組必修，8科目中必修7學分。,,https://course.ntu.edu.tw/courses/114-2/46944
細胞分子機制及調控,羅凱尹,53312,AC5082,623 U4490,選修,農業化學研究所,,,1 類,中文授課,2,20,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。",,https://course.ntu.edu.tw/courses/114-2/53312
環境微生物學特論,林乃君,35980,AC5100,623 U5070,選修,農業化學系 / 農業化學研究所,,,1 類,英文授課,2,24,"Drawing on microbiology, ecology, evolution, and genetics, this course examines past research and explores environmental microbes using modern approaches. Students will discuss literature and conduct self-designed research, including observing microbes from environmental samples and analyzing bacterial and bacteriophage genomes.","This course explores the impact of microbes on urban and natural environments while helping students develop their research skills. Students will integrate scientific training into daily life through literature reviews, journaling, and sharing findings, enhancing observation, communication, and societal awareness.
By course completion, students will:

1. Apply microbiologic and genomic knowledge to daily life appreciation, making more sense of how microbes impact our daily life and society.
2. Use biological and bioinformatics tools to investigate the microbiology of all aspects
3. Publish a phage genomic report on GenBank
4. Explore citizen science topics that connect society and academic research",待補,"40%	

Book reading

The materials for the online quizzes are based on the book ""Never Home Alone"" and related materials. Quizzes are open-book format. Each quiz has multiple-choice, fill-in-the-blank, or true/false questions, and a question for students to ask questions and/or reflect on their thoughts after reading the assigned chapters. Every quiz will be posted on Monday and due by the following Sunday at 11:59 PM.


20%	

Research Project

To be discussed in the first class


15%	

Leading Paper Discussion 

To be discussed in the first class


15%	

Phage genomic report 

To be discussed in the first class


10%	

Class Participation

To be discussed in the first class

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。密集課程。與鍾慧敏合授,課前一小時/課後三小時,https://course.ntu.edu.tw/courses/114-2/35980
生物資訊於微生物學之應用,陳宜龍,34307,AC5102,623 U5090,選修,農業化學系 / 農業化學研究所,,,1 類,中文授課,2,20,本課程為生物資訊學核心概念的實作導論。生物資訊學是結合生物學、電腦科學與統計數據分析的一門學科。學生將親自分析來自高通量定序的核酸序列。,"1. 理解生物資訊學的核心概念與應用 
學生能夠解釋生物資訊學的基本原理，並了解其在微生物學研究中的實際應用，特別是在微生物群落結構分析方面。
2. 建立生物資訊學工作環境與操作技能 
學生能夠安裝相關軟體工具，並能以UNIX命令行以進行生物數據處理與分析。
3. 應用統計與數據可視化技術
學生能夠掌握統計分析方法，並使用可視化工具呈現和解釋生物資訊學數據。
4. 了解生物數據來源與格式 
學生能夠識別和操作各種生物數據格式，並掌握使用公開數據庫進行資料檢索與分析。
5. 分析微生物群落結構與代謝潛力
學生能夠應用定序技術及相關數據處理方法進行微生物群落結構分析與功能預測。",普通微生物學,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/34307
環境化學,陳佩貞,51792,AC5103,623 U5100,必修,農業化學系,,,2 類,中文授課,2,20,本課程針對全校對於環境化學及相關環境污染議題有興趣的同學而設計之基礎課程。課程內容包括我們生存環境(大氣、水、土壤)的化學組成介紹、環境中各種自然現象的相關化學反應以及人類活動對自然環境造成的污染及衝擊。此課程將探討溫室氣體效應、臭氧洞、酸雨、水污染與新興汙染物等主要環境污染議題及其相關的化學反應機制，同時也將深入介紹環境污染的各種化學檢測方法及相關的環境法規。,"	專業知識與應用：訓練學生熟悉並靈活運用環境化學之基本與專業知識與技術，符合國家對專業人才之需求。
	跨域研究能力與永續視野：培養學生並深入瞭解環境化學與永續環境經營、氣候變遷、保護人類健康及生態安全等相關議題的最新進展。
	溝通與領導：藉由期末分組報告，訓練學生擁有良好之溝通協調、團隊合作及領導能力。","一、課程先修與要求
1.	先修科目
o	普通化學
2.	核心能力
o	能理解大氣、水、土壤中主要化學成分及其循環過程
o	能解析環境中天然／人為化學反應機制，並評估其對環境的影響
o	熟悉溫室氣體、臭氧層破壞、酸雨、水體污染與新興污染物等案例之化學本質
o	掌握常用的環境化學檢測方法（如：氣相／液相色譜、質譜、光譜分析等）
o	了解國內外主要環境法規與標準
3.	學習成效
o	能針對大氣、水、土壤等媒介，撰寫完整的化學組成與污染機制報告
o	能運用儀器分析數據，定量分析主要污染物濃度並評估其生態風險
o	能評論國際與國內相關環境議題與法規或污染控制規範
o	具備團隊合作、科學溝通與獨立撰寫報告之能力","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。",,https://course.ntu.edu.tw/courses/114-2/51792
農產與食品質譜學概論,黃玉萍,13026,AC5104,623 U5110,選修,農業化學系 / 農業化學研究所,,,2 類,中文授課,2,20,"本課程為學士班高年級與研究所學生所設計，旨在協助學生建立質譜分析的基礎概念，並探索其在農產品與食品科學、加工研究及化學性食品安全評估中的應用。課程內容涵蓋質譜分析的核心組成，包括樣品前處理、基本層析分離原理、常用離子化技術、質量分析器運作、資料解析與圖譜判讀、定量策略與方法驗證。課程同時強調質譜於農產品化學成分分析、食品品質與功能成分研究、食品加工反應追蹤、污染物偵測以及法規監管實務中的多元應用。
本課程的核心目標是使學生能掌握質譜的基本原理、理解研究文獻中的質譜技術內容，並能根據研究問題選擇合適的質譜平台與分析策略，以應用於農產品品質研究、食品化學探討與食品安全分析。","I.	基礎原理理解：理解質譜分析的基本原理、常用離子化技術與質量分析器之運作方式，並說明質譜在農產品與食品科學中的應用角色。
II.	文獻判讀與方法學掌握：理解質譜分析方法學，包括樣品前處理、層析、離子化、質量分析與 MS/MS 解譯，並能判讀研究文獻中的相關質譜分析結果。
III.	技術選擇與分析規劃：能依據研究問題或實務需求，選擇適當的質譜平台（如 LC-MS、GC-MS、HRMS）與分析策略，作為農產品品質評估、食品化學研究或食品安全檢測方法設計之基礎。","1.	先修科目：普通化學；並建議曾修習分析化學或食品分析
2.	課後研讀相關文獻並參與課堂討論。","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。",4小時,https://course.ntu.edu.tw/courses/114-2/13026
專題討論,施養信,12626,AC7001,623 M0030,必修,農業化學研究所,,,1 類,中文授課,1,40,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",限碩士班。必修四學期。與洪傳揚、陳佩貞、王尚禮、盧  毅合授,,https://course.ntu.edu.tw/courses/114-2/12626
